Mod name,Registry name,Item ID Name,Category,"Ingredient
Type",Type,Specific,Extra,Extra2,"Serving
Style",Cooked/Raw,
Bamboo Delight,bamboodelight:bamboo_stew,bamboo_stew,meal,,stew,bamboo,,,,,
Bamboo Delight,bamboodelight:cooked_bamboo,cooked_bamboo,ingredient,vegetable,bamboo,,,,,cooked,
Bamboo Delight,bamboodelight:piece_bamboo,piece_bamboo,ingredient,vegetable,bamboo,,,,slice,,
Brazil Delight,brazildelight:brazilian_cheese_bread,brazilian_cheese_bread,meal,,bread,cheese,,,,,
Brewin' and Chewin',brewinandchewin:beer,beer,drink,,alcohol,beer,,,,,
Brewin' and Chewin',brewinandchewin:bloody_mary,bloody_mary,drink,,alcohol,bloody_mary,,,,,
Brewin' and Chewin',brewinandchewin:cheesy_pasta,cheesy_pasta,meal,,pasta,cheese,,,,,
Brewin' and Chewin',brewinandchewin:cocoa_fudge,cocoa_fudge,dessert,,fudge,chocolate,,,,,
Brewin' and Chewin',brewinandchewin:creamy_onion_soup,creamy_onion_soup,meal,,soup,onion,creamy,,,,
Brewin' and Chewin',brewinandchewin:dread_nog,dread_nog,drink,,alcohol,dread_nog,,,,,
Brewin' and Chewin',brewinandchewin:egg_grog,egg_grog,drink,,alcohol,egg_grog,,,,,
Brewin' and Chewin',brewinandchewin:fiery_fondue,fiery_fondue,meal,,fondue,cheese,,,,,
Brewin' and Chewin',brewinandchewin:flaxen_cheese_wedge,flaxen_cheese_wedge,ingredient,,cheese,wedge,flaxen,,feast,,
Brewin' and Chewin',brewinandchewin:flaxen_cheese_wheel,flaxen_cheese_wheel,ingredient,,cheese,wheel,flaxen,,slice,,
Brewin' and Chewin',brewinandchewin:glittering_grenadine,glittering_grenadine,drink,,alcohol,grenadine,,,,,
Brewin' and Chewin',brewinandchewin:ham_and_cheese_sandwich,ham_and_cheese_sandwich,meal,,sandwich,ham_cheese,,,,,
Brewin' and Chewin',brewinandchewin:horror_lasagna,horror_lasagna,meal,,lasagna,horror,,,,,
Brewin' and Chewin',brewinandchewin:jerky,jerky,meal,,jerky,,,,,,
Brewin' and Chewin',brewinandchewin:kimchi,kimchi,ingredient,,kimchi,,,,,,
Brewin' and Chewin',brewinandchewin:kippers,kippers,ingredient,,seafood,smoked,,,,,
Brewin' and Chewin',brewinandchewin:kombucha,kombucha,drink,,tea,kombucha,,,,,
Brewin' and Chewin',brewinandchewin:mead,mead,drink,,alcohol,mead,,,,,
Brewin' and Chewin',brewinandchewin:pale_jane,pale_jane,drink,,alcohol,pale_jane,,,,,
Brewin' and Chewin',brewinandchewin:pickled_pickles,pickled_pickles,ingredient,,pickle,cucumber,,,,,
Brewin' and Chewin',brewinandchewin:pizza,pizza,meal,,pizza,,,,feast,,
Brewin' and Chewin',brewinandchewin:pizza_slice,pizza_slice,meal,,pizza,slice,,,,,
Brewin' and Chewin',brewinandchewin:quiche,quiche,meal,,quiche,,,,feast,,
Brewin' and Chewin',brewinandchewin:quiche_slice,quiche_slice,meal,,quiche,slice,,,,,
Brewin' and Chewin',brewinandchewin:red_rum,red_rum,drink,,alcohol,red_rum,,,,,
Brewin' and Chewin',brewinandchewin:rice_wine,rice_wine,drink,,alcohol,wine,rice,,,,
Brewin' and Chewin',brewinandchewin:saccharine_rum,saccharine_rum,drink,,alcohol,rum,saccharine,,,,
Brewin' and Chewin',brewinandchewin:salty_folly,salty_folly,drink,,alcohol,salty_folly,,,,,
